[  193.200104] BUG: scheduling while atomic: python3/493/0x00000000
[  193.702448] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.705372] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.712462] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.716800] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.724888] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.727037] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.727372] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.727756] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.732944] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.740323] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.743829] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.744598] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.745343] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.746634] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.747981] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.751519] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.755914] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.761454] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.762547] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.763668] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.764269] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.765772] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.767846] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.771116] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.771539] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.774054] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.776931] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.787221] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.788978] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.797845] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.801321] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.805798] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.814420] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.817684] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.824184] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.828801] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.836715] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.840216] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.844243] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.849794] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.855075] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.856608] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.865548] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.868684] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.871718] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.876400] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.883972] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.884492] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.885712] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.886708] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.887330] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.887745] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.888339] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.890955] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.898034] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.900704] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.904526] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.915009] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.916699] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.920413] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.927155] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.931487] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.938444] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.944080] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.947190] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.953505] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.959940] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.963298] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.970109] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.971600] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.975331] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.977012] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.980025] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.987317] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.988784] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.992631] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.993838] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.996279] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  193.999607] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  194.002407] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  194.004002] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  194.007870] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  194.011060] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  194.014280] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  194.015362] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  194.016508] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  194.019249] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  194.022652] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  194.024750] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  194.025179] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  194.026487] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  194.027569] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  194.028738] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  194.032300] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  194.038641] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  194.041989] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
[  194.046263] softirq: huh, entered softirq 2 NET_TX 00000000c514e17d with preempt_count 00000100, exited with 000000ff?
