2025-10-28 14:18:54, Instruction: 0xffff800010ba638c, Mem: 1384120320, Flipped bit 27, Flipped 1518338048, [+] System running normally
2025-10-28 14:18:57, Instruction: 0xffff800010ba638c, Mem: 1384120320, Flipped bit 28, Flipped 1115684864, [+] System running normally
2025-10-28 14:18:59, Instruction: 0xffff800010ba638c, Mem: 1384120320, Flipped bit 29, Flipped 1920991232, [+] System running normally
2025-10-28 14:19:01, Instruction: 0xffff800010ba638c, Mem: 1384120320, Flipped bit 30, Flipped 310378496, [+] System running normally
2025-10-28 14:19:03, Instruction: 0xffff800010ba638c, Mem: 1384120320, Flipped bit 31, Flipped 3531603968, [+] System running normally
2025-10-28 14:19:05, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 0, Flipped 2432942147, [+] System running normally
2025-10-28 14:19:07, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 1, Flipped 2432942144, [+] System running normally
2025-10-28 14:19:09, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 2, Flipped 2432942150, [+] System running normally
2025-10-28 14:19:13, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 3, Flipped 2432942154, [+] System running normally
2025-10-28 14:19:15, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 4, Flipped 2432942162, [+] System running normally
2025-10-28 14:19:17, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 5, Flipped 2432942178, [+] System running normally
2025-10-28 14:19:19, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 6, Flipped 2432942082, [+] System running normally
2025-10-28 14:19:21, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 7, Flipped 2432942274, [+] System running normally
2025-10-28 14:19:23, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 8, Flipped 2432942402, [+] System running normally
2025-10-28 14:19:25, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 9, Flipped 2432942658, [+] System running normally
2025-10-28 14:19:27, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 10, Flipped 2432943170, [+] System running normally
2025-10-28 14:19:29, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 11, Flipped 2432944194, [+] System running normally
2025-10-28 14:19:31, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 12, Flipped 2432946242, [+] System running normally
2025-10-28 14:19:33, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 13, Flipped 2432950338, [+] System running normally
2025-10-28 14:19:35, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 14, Flipped 2432925762, [+] System running normally
2025-10-28 14:19:37, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 15, Flipped 2432909378, [+] System running normally
2025-10-28 14:19:39, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 16, Flipped 2432876610, [+] System running normally
2025-10-28 14:19:41, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 17, Flipped 2432811074, [+] System running normally
2025-10-28 14:19:43, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 18, Flipped 2433204290, [+] System running normally
2025-10-28 14:19:45, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 19, Flipped 2433466434, [+] System running normally
2025-10-28 14:19:47, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 20, Flipped 2433990722, [+] System running normally
2025-10-28 14:19:49, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 21, Flipped 2435039298, [+] System running normally
2025-10-28 14:19:51, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 22, Flipped 2437136450, [+] System running normally
2025-10-28 14:19:53, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 23, Flipped 2441330754, [+] System running normally
2025-10-28 14:19:55, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 24, Flipped 2416164930, [+] System running normally
2025-10-28 14:19:57, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 25, Flipped 2466496578, [+] System running normally
2025-10-28 14:19:59, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 26, Flipped 2500051010, [+] System running normally
2025-10-28 14:20:01, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 27, Flipped 2567159874, [+] System running normally
2025-10-28 14:20:03, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 28, Flipped 2164506690, [+] System running normally
2025-10-28 14:20:05, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 29, Flipped 2969813058, [+] System running normally
2025-10-28 14:20:07, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 30, Flipped 3506683970, [+] System running normally
2025-10-28 14:20:09, Instruction: 0xffff800010ba6390, Mem: 2432942146, Flipped bit 31, Flipped 285458498, [+] System running normally
2025-10-28 14:20:11, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 0, Flipped 4177657890, [+] System running normally
2025-10-28 14:20:13, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 1, Flipped 4177657889, [+] System running normally
2025-10-28 14:20:15, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 2, Flipped 4177657895, [+] System running normally
2025-10-28 14:20:17, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 3, Flipped 4177657899, [+] System running normally
2025-10-28 14:20:19, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 4, Flipped 4177657907, [+] System running normally
2025-10-28 14:20:23, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 5, Flipped 4177657859, [+] System running normally
2025-10-28 14:20:25, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 6, Flipped 4177657955, [+] System running normally
2025-10-28 14:20:27, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 7, Flipped 4177658019, [+] System running normally
2025-10-28 14:20:29, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 8, Flipped 4177658147, [+] System running normally
2025-10-28 14:20:31, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 9, Flipped 4177658403, [+] System running normally
2025-10-28 14:20:33, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 10, Flipped 4177658915, [+] System running normally
2025-10-28 14:20:35, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 11, Flipped 4177659939, [+] System running normally
2025-10-28 14:20:37, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 12, Flipped 4177661987, [+] System running normally
2025-10-28 14:20:39, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 13, Flipped 4177666083, [+] System running normally
2025-10-28 14:20:41, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 14, Flipped 4177674275, [+] System running normally
2025-10-28 14:20:43, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 15, Flipped 4177690659, [+] System running normally
2025-10-28 14:20:45, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 16, Flipped 4177723427, [+] System running normally
2025-10-28 14:20:47, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 17, Flipped 4177526819, [+] System running normally
2025-10-28 14:20:49, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 18, Flipped 4177920035, [+] System running normally
2025-10-28 14:20:51, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 19, Flipped 4178182179, [+] System running normally
2025-10-28 14:20:53, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 20, Flipped 4178706467, [+] System running normally
2025-10-28 14:20:55, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 21, Flipped 4179755043, [+] System running normally
2025-10-28 14:20:57, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 22, Flipped 4181852195, [+] System running normally
2025-10-28 14:20:59, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 23, Flipped 4186046499, [+] System running normally
2025-10-28 14:21:01, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 24, Flipped 4160880675, [+] System running normally
2025-10-28 14:21:03, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 25, Flipped 4211212323, [+] System running normally
2025-10-28 14:21:07, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 26, Flipped 4244766755, [+] System running normally
2025-10-28 14:21:09, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 27, Flipped 4043440163, [+] System running normally
2025-10-28 14:21:11, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 28, Flipped 3909222435, [+] System running normally
2025-10-28 14:21:15, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 29, Flipped 3640786979, [+] System running normally
2025-10-28 14:21:17, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 30, Flipped 3103916067, [+] System running normally
2025-10-28 14:21:19, Instruction: 0xffff800010ba6394, Mem: 4177657891, Flipped bit 31, Flipped 2030174243, [+] System running normally
2025-10-28 14:21:22, Instruction: 0xffff800010ba6398, Mem: 4177527907, Flipped bit 0, Flipped 4177527906, [+] System running normally
2025-10-28 14:21:24, Instruction: 0xffff800010ba6398, Mem: 4177527907, Flipped bit 1, Flipped 4177527905, [+] System running normally
2025-10-28 14:21:26, Instruction: 0xffff800010ba6398, Mem: 4177527907, Flipped bit 2, Flipped 4177527911, [+] System running normally
2025-10-28 14:21:28, Instruction: 0xffff800010ba6398, Mem: 4177527907, Flipped bit 3, Flipped 4177527915, [+] System running normally
2025-10-28 14:21:30, Instruction: 0xffff800010ba6398, Mem: 4177527907, Flipped bit 4, Flipped 4177527923, [+] System running normally
2025-10-28 14:21:32, Instruction: 0xffff800010ba6398, Mem: 4177527907, Flipped bit 5, Flipped 4177527875, [+] System running normally
2025-10-28 14:21:34, Instruction: 0xffff800010ba6398, Mem: 4177527907, Flipped bit 6, Flipped 4177527843, [+] System running normally
2025-10-28 14:21:38, Instruction: 0xffff800010ba6398, Mem: 4177527907, Flipped bit 7, Flipped 4177528035, [+] System running normally
2025-10-28 14:21:40, Instruction: 0xffff800010ba6398, Mem: 4177527907, Flipped bit 8, Flipped 4177528163, [+] System running normally
2025-10-28 14:21:42, Instruction: 0xffff800010ba6398, Mem: 4177527907, Flipped bit 9, Flipped 4177528419, [+] System running normally
2025-10-28 14:21:44, Instruction: 0xffff800010ba6398, Mem: 4177527907, Flipped bit 10, Flipped 4177526883, [+] System running normally
