2025-09-29 14:57:22, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 29, Flipped 2298565619, [+] System running normally
2025-09-29 14:57:24, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 30, Flipped 3909178355, [+] System running normally
2025-09-29 14:57:26, Instruction: 0xffff800010b2de24, Mem: 2835436531, Flipped bit 31, Flipped 687952883, [+] System running normally
2025-09-29 14:57:28, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 0, Flipped 2852127730, [+] System running normally
2025-09-29 14:57:30, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 1, Flipped 2852127729, [+] System running normally
2025-09-29 14:57:32, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 2, Flipped 2852127735, [+] System running normally
2025-09-29 14:57:34, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 3, Flipped 2852127739, [+] System running normally
2025-09-29 14:57:36, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 4, Flipped 2852127715, [+] System running normally
2025-09-29 14:57:38, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 5, Flipped 2852127699, [+] System running normally
2025-09-29 14:57:40, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 6, Flipped 2852127667, [+] System running normally
2025-09-29 14:57:42, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 7, Flipped 2852127603, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x96000005', 'raw_match': '[  223.809367]   ESR = 0x96000005'}, {'EC': '0x25 / Data Abort from current EL'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-09-29 15:01:04, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 8, Flipped 2852127475, [+] System running normally
2025-09-29 15:01:06, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 9, Flipped 2852127219, [+] System running normally
2025-09-29 15:01:10, Instruction: 0xffff800010b2de28, Mem: 2852127731, Flipped bit 10, Flipped 2852128755, [+] System running normally
